# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\Users\Marco Reus\Documents\ECE385\SLC-3\SLC-3_Pin_Assignment.csv
# Generated on: Thu Jul 08 16:17:39 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
Clk,Input,PIN_P11,3,B3_N0,PIN_D21,,,,,,
Continue,Input,PIN_B8,7,B7_N0,PIN_A19,,,,,,
HEX0[6],Output,PIN_C17,7,B7_N0,PIN_C13,2.5 V,,,,,
HEX0[5],Output,PIN_D17,7,B7_N0,PIN_A7,2.5 V,,,,,
HEX0[4],Output,PIN_E16,7,B7_N0,PIN_N9,2.5 V,,,,,
HEX0[3],Output,PIN_C16,7,B7_N0,PIN_A6,2.5 V,,,,,
HEX0[2],Output,PIN_C15,7,B7_N0,PIN_J20,2.5 V,,,,,
HEX0[1],Output,PIN_E15,7,B7_N0,PIN_E11,2.5 V,,,,,
HEX0[0],Output,PIN_C14,7,B7_N0,PIN_A2,2.5 V,,,,,
HEX1[6],Output,PIN_B17,7,B7_N0,PIN_D13,2.5 V,,,,,
HEX1[5],Output,PIN_A18,7,B7_N0,PIN_AB3,2.5 V,,,,,
HEX1[4],Output,PIN_A17,7,B7_N0,PIN_C9,2.5 V,,,,,
HEX1[3],Output,PIN_B16,7,B7_N0,PIN_AA21,2.5 V,,,,,
HEX1[2],Output,PIN_E18,6,B6_N0,PIN_AB9,2.5 V,,,,,
HEX1[1],Output,PIN_D18,6,B6_N0,PIN_U6,2.5 V,,,,,
HEX1[0],Output,PIN_C18,7,B7_N0,PIN_F3,2.5 V,,,,,
HEX2[6],Output,PIN_B22,6,B6_N0,PIN_W8,2.5 V,,,,,
HEX2[5],Output,PIN_C22,6,B6_N0,PIN_Y22,2.5 V,,,,,
HEX2[4],Output,PIN_B21,6,B6_N0,PIN_M8,2.5 V,,,,,
HEX2[3],Output,PIN_A21,6,B6_N0,PIN_B10,2.5 V,,,,,
HEX2[2],Output,PIN_B19,7,B7_N0,PIN_C4,2.5 V,,,,,
HEX2[1],Output,PIN_A20,7,B7_N0,PIN_D15,2.5 V,,,,,
HEX2[0],Output,PIN_B20,6,B6_N0,PIN_A20,2.5 V,,,,,
HEX3[6],Output,PIN_E17,6,B6_N0,PIN_AA11,2.5 V,,,,,
HEX3[5],Output,PIN_D19,6,B6_N0,PIN_Y5,2.5 V,,,,,
HEX3[4],Output,PIN_C20,6,B6_N0,PIN_F18,2.5 V,,,,,
HEX3[3],Output,PIN_C19,7,B7_N0,PIN_E12,2.5 V,,,,,
HEX3[2],Output,PIN_E21,6,B6_N0,PIN_W12,2.5 V,,,,,
HEX3[1],Output,PIN_E22,6,B6_N0,PIN_C14,2.5 V,,,,,
HEX3[0],Output,PIN_F21,6,B6_N0,PIN_Y8,2.5 V,,,,,
LED[9],Output,,,,PIN_R12,,,,,,
LED[8],Output,,,,PIN_V21,,,,,,
LED[7],Output,,,,PIN_N4,,,,,,
LED[6],Output,,,,PIN_L9,,,,,,
LED[5],Output,,,,PIN_A10,,,,,,
LED[4],Output,,,,PIN_B3,,,,,,
LED[3],Output,,,,PIN_C19,,,,,,
LED[2],Output,,,,PIN_B8,,,,,,
LED[1],Output,,,,PIN_V5,,,,,,
LED[0],Output,,,,PIN_F21,,,,,,
Run,Input,PIN_A7,7,B7_N0,PIN_E21,,,,,,
SW[9],Input,,,,PIN_C2,,,,,,
SW[8],Input,,,,PIN_AB11,,,,,,
SW[7],Input,,,,PIN_AB18,,,,,,
SW[6],Input,,,,PIN_E6,,,,,,
SW[5],Input,,,,PIN_Y7,,,,,,
SW[4],Input,,,,PIN_K8,,,,,,
SW[3],Input,,,,PIN_H14,,,,,,
SW[2],Input,,,,PIN_W1,,,,,,
SW[1],Input,,,,PIN_D9,,,,,,
SW[0],Input,,,,PIN_A12,,,,,,
CLK,Unknown,,,,,2.5 V,,,,,
ClearA_LoadB,Unknown,,,,,,,,,,
Execute,Unknown,,,,,,,,,,
Reset,Unknown,,,,,,,,,,
S[7],Unknown,,,,,2.5 V,,,,,
S[6],Unknown,,,,,2.5 V,,,,,
S[5],Unknown,,,,,2.5 V,,,,,
S[4],Unknown,,,,,2.5 V,,,,,
S[3],Unknown,,,,,2.5 V,,,,,
S[2],Unknown,,,,,2.5 V,,,,,
S[1],Unknown,,,,,2.5 V,,,,,
S[0],Unknown,,,,,2.5 V,,,,,
